RID,Signaltype
router-84875df7fc-cmkz9-2-9617301-0,11.0
router-84875df7fc-scxcj-6-13366366-0,17.0
router-84875df7fc-52vz8-6-62202063-0,24.0
router-84875df7fc-8n4sw-5-6914479-0,19.0
router-84875df7fc-8n4sw-7-75115963-0,14.0
router-84875df7fc-scxcj-3-27688400-0,16.0
router-84875df7fc-scxcj-3-24626188-0,17.0
router-84875df7fc-52vz8-0-8458358-0,39.0
router-84875df7fc-cmkz9-6-13244872-0,48.0
router-84875df7fc-scxcj-0-6625462-0,1.0
router-84875df7fc-scxcj-7-72299565-0,24.0
router-84875df7fc-cmkz9-7-50992824-0,4.0
router-84875df7fc-52vz8-4-27817665-0,5.0
router-84875df7fc-52vz8-4-24158847-0,17.0
router-84875df7fc-8n4sw-7-55062890-0,5.0
router-84875df7fc-8n4sw-5-7335549-0,2.0
router-84875df7fc-8n4sw-6-21933921-0,3.0
router-84875df7fc-8n4sw-5-10065302-0,13.0
router-84875df7fc-8n4sw-7-54986659-0,16.0
router-84875df7fc-52vz8-6-52343808-0,52.0
router-84875df7fc-52vz8-6-64159822-0,5.0
router-84875df7fc-52vz8-6-46247220-0,16.0
router-84875df7fc-8n4sw-4-11552887-0,28.0
router-84875df7fc-8n4sw-7-73184420-0,19.0
router-84875df7fc-cmkz9-2-9797497-0,5.0
router-84875df7fc-52vz8-7-9821574-0,31.0
router-84875df7fc-b5nxc-4-67924540-0,17.0
router-84875df7fc-52vz8-6-53398901-0,15.0
router-84875df7fc-8n4sw-1-6635284-0,15.0
router-84875df7fc-8n4sw-4-14089746-0,15.0
router-84875df7fc-scxcj-7-49788175-0,30.0
router-84875df7fc-b5nxc-7-28412517-0,14.0
router-84875df7fc-cmkz9-4-30006779-0,23.0
router-84875df7fc-b5nxc-2-6703749-0,2.0
router-84875df7fc-52vz8-0-6104249-0,17.0
router-84875df7fc-8n4sw-3-7630801-0,15.0
router-84875df7fc-scxcj-4-7840668-0,17.0
router-84875df7fc-8n4sw-7-51240318-0,36.0
router-84875df7fc-scxcj-3-27087489-0,22.0
router-84875df7fc-8n4sw-6-31017538-0,38.0
router-84875df7fc-scxcj-7-50292135-0,42.0
router-84875df7fc-8n4sw-6-29839541-0,20.0
router-84875df7fc-b5nxc-4-69671418-0,9.0
router-84875df7fc-scxcj-7-57833743-0,36.0
router-84875df7fc-scxcj-3-28517608-0,5.0
router-84875df7fc-b5nxc-4-72271007-0,15.0
router-84875df7fc-scxcj-3-22289535-0,13.0
router-84875df7fc-cmkz9-4-29351582-0,11.0
router-84875df7fc-8n4sw-4-14656111-0,10.0
router-84875df7fc-b5nxc-6-13186994-0,17.0
router-84875df7fc-cmkz9-5-10935264-0,23.0
router-84875df7fc-8n4sw-7-74372359-0,0.0
router-84875df7fc-scxcj-7-58000288-0,3.0
router-84875df7fc-52vz8-7-12796175-0,30.0
router-84875df7fc-scxcj-7-58069951-0,1.0
router-84875df7fc-52vz8-6-65733419-0,26.0
router-84875df7fc-cmkz9-2-6979932-0,50.0
router-84875df7fc-cmkz9-7-67672776-0,16.0
router-84875df7fc-cmkz9-1-7044249-0,7.0
router-84875df7fc-b5nxc-1-8728402-0,35.0
router-84875df7fc-cmkz9-7-67301848-0,22.0
router-84875df7fc-52vz8-4-30689782-0,0.0
router-84875df7fc-8n4sw-7-58987661-0,22.0
router-84875df7fc-52vz8-7-11580241-0,28.0
router-84875df7fc-scxcj-7-53062256-0,6.0
router-84875df7fc-b5nxc-7-20862635-0,18.0
router-84875df7fc-52vz8-5-8428995-0,0.0
router-84875df7fc-cmkz9-4-24964951-0,18.0
router-84875df7fc-scxcj-1-5797892-0,26.0
