merge_id,ptratio,b,lstat,medv
1,15.3,396.9,4.98,24
2,17.8,396.9,9.14,21.6
3,17.8,392.83,4.03,34.7
4,18.7,394.63,2.94,33.4
5,18.7,396.9,5.33,36.2
6,18.7,394.12,5.21,28.7
7,15.2,395.6,12.43,22.9
8,15.2,396.9,19.15,27.1
9,15.2,386.63,29.93,16.5
10,15.2,386.71,17.1,18.9
11,15.2,392.52,20.45,15
12,15.2,396.9,13.27,18.9
13,15.2,390.5,15.71,21.7
14,21,396.9,8.26,20.4
15,21,380.02,10.26,18.2
16,21,395.62,8.47,19.9
17,21,386.85,6.58,23.1
18,21,386.75,14.67,17.5
19,21,288.99,11.69,20.2
20,21,390.95,11.28,18.2
21,21,376.57,21.02,13.6
22,21,392.53,13.83,19.6
23,21,396.9,18.72,15.2
24,21,394.54,19.88,14.5
25,21,394.33,16.3,15.6
26,21,303.42,16.51,13.9
27,21,376.88,14.81,16.6
28,21,306.38,17.28,14.8
29,21,387.94,12.8,18.4
30,21,380.23,11.98,21
31,21,360.17,22.6,12.7
32,21,376.73,13.04,14.5
33,21,232.6,27.71,13.2
34,21,358.77,18.35,13.1
35,21,248.31,20.34,13.5
36,19.2,396.9,9.68,18.9
37,19.2,377.56,11.41,20
38,19.2,396.9,8.77,21
39,19.2,393.43,10.13,24.7
40,18.3,395.63,4.32,30.8
41,18.3,395.62,1.98,34.9
42,17.9,385.41,4.84,26.6
43,17.9,383.37,5.81,25.3
44,17.9,394.46,7.44,24.7
45,17.9,389.39,9.55,21.2
46,17.9,396.9,10.21,19.3
47,17.9,396.9,14.15,20
48,17.9,392.74,18.8,16.6
49,17.9,396.9,30.81,14.4
50,17.9,396.9,16.2,19.4
51,16.8,395.56,13.45,19.7
52,16.8,393.97,9.43,20.5
53,16.8,396.9,5.28,25
54,16.8,396.9,8.43,23.4
55,21.1,396.9,14.8,18.9
56,17.9,395.93,4.81,35.4
57,17.3,396.9,5.77,24.7
58,15.1,392.9,3.95,31.6
59,19.7,390.68,6.86,23.3
60,19.7,396.9,9.22,19.6
61,19.7,395.11,13.15,18.7
62,19.7,378.08,14.44,16
63,19.7,396.9,6.73,22.2
64,19.7,395.58,9.5,25
65,18.6,393.24,8.05,33
66,16.1,396.9,4.67,23.5
67,16.1,396.9,10.24,19.4
68,18.9,396.21,8.1,22
69,18.9,396.9,13.09,17.4
70,18.9,396.9,8.79,20.9
71,19.2,383.73,6.72,24.2
72,19.2,376.94,9.88,21.7
73,19.2,390.91,5.52,22.8
74,19.2,377.17,7.54,23.4
75,18.7,394.92,6.78,24.1
76,18.7,383.23,8.94,21.4
77,18.7,373.66,11.97,20
78,18.7,386.96,10.27,20.8
79,18.7,386.4,12.34,21.2
80,18.7,396.06,9.1,20.3
81,19,396.9,5.29,28
82,19,395.63,7.22,23.9
83,19,396.9,6.72,24.8
84,19,390.64,7.51,22.9
85,18.5,396.9,9.62,23.9
86,18.5,392.3,6.53,26.6
87,18.5,395.99,12.86,22.5
88,18.5,395.15,8.44,22.2
89,17.8,396.9,5.5,23.6
90,17.8,396.06,5.7,28.7
91,17.8,392.18,8.81,22.6
92,17.8,393.55,8.2,22
93,18.2,395.01,8.16,22.9
94,18.2,396.33,6.21,25
95,18.2,396.9,10.59,20.6
96,18,357.98,6.65,28.4
97,18,391.83,11.34,21.4
98,18,396.9,4.21,38.7
99,18,393.53,3.57,43.8
100,18,396.9,6.19,33.2
101,20.9,394.76,9.42,27.5
102,20.9,395.58,7.67,26.5
103,20.9,70.8,10.63,18.6
104,20.9,394.47,13.44,19.3
105,20.9,392.69,12.33,20.1
106,20.9,394.05,16.47,19.5
107,20.9,395.67,18.66,19.5
108,20.9,387.69,14.09,20.4
109,20.9,395.24,12.27,19.8
110,20.9,391.23,15.55,19.4
111,20.9,393.49,13,21.7
112,17.8,395.59,10.16,22.8
113,17.8,394.95,16.21,18.8
114,17.8,396.9,17.09,18.7
115,17.8,388.74,10.45,18.5
116,17.8,344.91,15.76,18.3
117,17.8,393.3,12.04,21.2
118,17.8,394.51,10.3,19.2
119,17.8,338.63,15.37,20.4
120,17.8,391.5,13.61,19.3
121,19.1,389.15,14.37,22
122,19.1,377.67,14.27,20.3
123,19.1,378.09,17.93,20.5
124,19.1,370.31,25.41,17.3
125,19.1,379.38,17.58,18.8
126,19.1,385.02,14.81,21.4
127,19.1,359.29,27.26,15.7
128,21.2,392.11,17.19,16.2
129,21.2,396.9,15.39,18
130,21.2,396.9,18.34,14.3
131,21.2,395.04,12.6,19.2
132,21.2,396.9,12.26,19.6
133,21.2,385.76,11.12,23
134,21.2,388.69,15.03,18.4
135,21.2,262.76,17.31,15.6
136,21.2,394.67,16.96,18.1
137,21.2,378.25,16.9,17.4
138,21.2,394.08,14.59,17.1
139,21.2,392.04,21.32,13.3
140,21.2,396.9,18.46,17.8
141,21.2,388.08,24.16,14
142,21.2,396.9,34.41,14.4
143,14.7,396.9,26.82,13.4
144,14.7,396.9,26.42,15.6
145,14.7,396.9,29.29,11.8
146,14.7,172.91,27.8,13.8
147,14.7,169.27,16.65,15.6
148,14.7,391.71,29.53,14.6
149,14.7,356.99,28.32,17.8
150,14.7,351.85,21.45,15.4
151,14.7,372.8,14.1,21.5
152,14.7,341.6,13.28,19.6
153,14.7,343.28,12.12,15.3
154,14.7,261.95,15.79,19.4
155,14.7,321.02,15.12,17
156,14.7,88.01,15.02,15.6
157,14.7,88.63,16.14,13.1
158,14.7,363.43,4.59,41.3
159,14.7,353.89,6.43,24.3
160,14.7,364.31,7.39,23.3
161,14.7,338.92,5.5,27
162,14.7,374.43,1.73,50
163,14.7,389.61,1.92,50
164,14.7,388.45,3.32,50
165,14.7,395.11,11.64,22.7
166,14.7,240.16,9.81,25
167,14.7,369.3,3.7,50
168,14.7,227.61,12.14,23.8
169,14.7,297.09,11.1,23.8
170,14.7,330.04,11.32,22.3
171,14.7,292.29,14.43,17.4
172,14.7,348.13,12.03,19.1
173,16.6,396.9,14.69,23.1
174,16.6,395.5,9.04,23.6
175,16.6,393.23,9.64,22.6
176,16.6,390.96,5.33,29.4
177,16.6,393.23,10.11,23.2
178,16.6,395.6,6.29,24.6
179,16.6,391.27,6.92,29.9
180,17.8,396.9,5.04,37.2
181,17.8,395.56,7.56,39.8
